model,dataset,stratum,level_n_problems,N,T,mean_acc,std_acc,source
Qwen2.5-3B,aime2023,L1,2,2,0.6,0.833,0.373,markdown
Qwen2.5-3B,aime2023,L1,2,2,0.7,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,2,0.8,0.917,0.186,markdown
Qwen2.5-3B,aime2023,L1,2,2,0.9,0.75,0.382,markdown
Qwen2.5-3B,aime2023,L1,2,2,1.0,0.667,0.236,markdown
Qwen2.5-3B,aime2023,L1,2,2,1.1,0.833,0.236,markdown
Qwen2.5-3B,aime2023,L1,2,2,1.2,0.917,0.186,markdown
Qwen2.5-3B,aime2023,L1,2,4,0.1,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,4,0.2,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,4,0.3,0.917,0.186,markdown
Qwen2.5-3B,aime2023,L1,2,4,0.4,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,4,0.5,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,4,0.6,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,4,0.7,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,4,0.8,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,4,0.9,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,4,1.0,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,4,1.1,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,4,1.2,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,8,0.1,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,8,0.2,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,8,0.3,0.917,0.186,markdown
Qwen2.5-3B,aime2023,L1,2,8,0.4,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,8,0.5,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,8,0.6,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,8,0.7,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,8,0.8,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,8,0.9,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,8,1.0,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,8,1.1,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,8,1.2,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,16,0.1,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,16,0.2,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,16,0.3,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,16,0.4,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,16,0.5,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,16,0.6,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,16,0.7,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,16,0.8,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,16,0.9,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,16,1.0,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,16,1.1,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,16,1.2,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,32,0.1,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,32,0.2,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,32,0.3,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,32,0.4,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,32,0.5,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,32,0.6,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,32,0.7,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,32,0.8,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,32,0.9,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,32,1.0,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,32,1.1,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,32,1.2,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,64,0.1,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,64,0.2,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,64,0.3,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,64,0.4,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,64,0.5,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,64,0.6,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,64,0.7,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,64,0.8,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,64,0.9,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,64,1.0,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,64,1.1,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,64,1.2,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,128,0.1,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,128,0.2,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,128,0.3,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,128,0.4,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,128,0.5,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,128,0.6,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,128,0.7,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,128,0.8,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,128,0.9,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,128,1.0,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,128,1.1,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,128,1.2,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,256,0.1,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,256,0.2,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,256,0.3,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,256,0.4,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,256,0.5,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,256,0.6,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,256,0.7,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,256,0.8,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,256,0.9,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,256,1.0,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,256,1.1,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L1,2,256,1.2,1.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,1,0.1,0.019,0.041,markdown
Qwen2.5-3B,aime2023,L5,9,1,0.2,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,1,0.3,0.037,0.052,markdown
Qwen2.5-3B,aime2023,L5,9,1,0.4,0.074,0.083,markdown
Qwen2.5-3B,aime2023,L5,9,1,0.5,0.037,0.052,markdown
Qwen2.5-3B,aime2023,L5,9,1,0.6,0.019,0.041,markdown
Qwen2.5-3B,aime2023,L5,9,1,0.7,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,1,0.8,0.037,0.052,markdown
Qwen2.5-3B,aime2023,L5,9,1,0.9,0.019,0.041,markdown
Qwen2.5-3B,aime2023,L5,9,1,1.0,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,1,1.1,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,1,1.2,0.019,0.041,markdown
Qwen2.5-3B,aime2023,L5,9,2,0.1,0.019,0.041,markdown
Qwen2.5-3B,aime2023,L5,9,2,0.2,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,2,0.3,0.037,0.052,markdown
Qwen2.5-3B,aime2023,L5,9,2,0.4,0.074,0.083,markdown
Qwen2.5-3B,aime2023,L5,9,2,0.5,0.037,0.052,markdown
Qwen2.5-3B,aime2023,L5,9,2,0.6,0.019,0.041,markdown
Qwen2.5-3B,aime2023,L5,9,2,0.7,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,2,0.8,0.037,0.052,markdown
Qwen2.5-3B,aime2023,L5,9,2,0.9,0.019,0.041,markdown
Qwen2.5-3B,aime2023,L5,9,2,1.0,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,2,1.1,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,2,1.2,0.019,0.041,markdown
Qwen2.5-3B,aime2023,L5,9,4,0.1,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,4,0.2,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,4,0.3,0.037,0.052,markdown
Qwen2.5-3B,aime2023,L5,9,4,0.4,0.074,0.083,markdown
Qwen2.5-3B,aime2023,L5,9,4,0.5,0.037,0.052,markdown
Qwen2.5-3B,aime2023,L5,9,4,0.6,0.019,0.041,markdown
Qwen2.5-3B,aime2023,L5,9,4,0.7,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,4,0.8,0.037,0.052,markdown
Qwen2.5-3B,aime2023,L5,9,4,0.9,0.019,0.041,markdown
Qwen2.5-3B,aime2023,L5,9,4,1.0,0.019,0.041,markdown
Qwen2.5-3B,aime2023,L5,9,4,1.1,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,4,1.2,0.019,0.041,markdown
Qwen2.5-3B,aime2023,L5,9,8,0.1,0.019,0.041,markdown
Qwen2.5-3B,aime2023,L5,9,8,0.2,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,8,0.3,0.037,0.052,markdown
Qwen2.5-3B,aime2023,L5,9,8,0.4,0.056,0.085,markdown
Qwen2.5-3B,aime2023,L5,9,8,0.5,0.019,0.041,markdown
Qwen2.5-3B,aime2023,L5,9,8,0.6,0.019,0.041,markdown
Qwen2.5-3B,aime2023,L5,9,8,0.7,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,8,0.8,0.019,0.041,markdown
Qwen2.5-3B,aime2023,L5,9,8,0.9,0.019,0.041,markdown
Qwen2.5-3B,aime2023,L5,9,8,1.0,0.037,0.052,markdown
Qwen2.5-3B,aime2023,L5,9,8,1.1,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,8,1.2,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,16,0.1,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,16,0.2,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,16,0.3,0.019,0.041,markdown
Qwen2.5-3B,aime2023,L5,9,16,0.4,0.037,0.052,markdown
Qwen2.5-3B,aime2023,L5,9,16,0.5,0.019,0.041,markdown
Qwen2.5-3B,aime2023,L5,9,16,0.6,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,16,0.7,0.019,0.041,markdown
Qwen2.5-3B,aime2023,L5,9,16,0.8,0.019,0.041,markdown
Qwen2.5-3B,aime2023,L5,9,16,0.9,0.037,0.052,markdown
Qwen2.5-3B,aime2023,L5,9,16,1.0,0.037,0.052,markdown
Qwen2.5-3B,aime2023,L5,9,16,1.1,0.019,0.041,markdown
Qwen2.5-3B,aime2023,L5,9,16,1.2,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,32,0.1,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,32,0.2,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,32,0.3,0.019,0.041,markdown
Qwen2.5-3B,aime2023,L5,9,32,0.4,0.037,0.052,markdown
Qwen2.5-3B,aime2023,L5,9,32,0.5,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,32,0.6,0.019,0.041,markdown
Qwen2.5-3B,aime2023,L5,9,32,0.7,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,32,0.8,0.019,0.041,markdown
Qwen2.5-3B,aime2023,L5,9,32,0.9,0.074,0.052,markdown
Qwen2.5-3B,aime2023,L5,9,32,1.0,0.037,0.052,markdown
Qwen2.5-3B,aime2023,L5,9,32,1.1,0.019,0.041,markdown
Qwen2.5-3B,aime2023,L5,9,32,1.2,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,64,0.1,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,64,0.2,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,64,0.3,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,64,0.4,0.019,0.041,markdown
Qwen2.5-3B,aime2023,L5,9,64,0.5,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,64,0.6,0.019,0.041,markdown
Qwen2.5-3B,aime2023,L5,9,64,0.7,0.019,0.041,markdown
Qwen2.5-3B,aime2023,L5,9,64,0.8,0.056,0.056,markdown
Qwen2.5-3B,aime2023,L5,9,64,0.9,0.056,0.056,markdown
Qwen2.5-3B,aime2023,L5,9,64,1.0,0.019,0.041,markdown
Qwen2.5-3B,aime2023,L5,9,64,1.1,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,64,1.2,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,128,0.1,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,128,0.2,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,128,0.3,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,128,0.4,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,128,0.5,0.019,0.041,markdown
Qwen2.5-3B,aime2023,L5,9,128,0.6,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,128,0.7,0.019,0.041,markdown
Qwen2.5-3B,aime2023,L5,9,128,0.8,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,128,0.9,0.037,0.052,markdown
Qwen2.5-3B,aime2023,L5,9,128,1.0,0.019,0.041,markdown
Qwen2.5-3B,aime2023,L5,9,128,1.1,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,128,1.2,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,256,0.1,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,256,0.2,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,256,0.3,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,256,0.4,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,256,0.5,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,256,0.6,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,256,0.7,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,256,0.8,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,256,0.9,0.019,0.041,markdown
Qwen2.5-3B,aime2023,L5,9,256,1.0,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,256,1.1,0.0,0.0,markdown
Qwen2.5-3B,aime2023,L5,9,256,1.2,0.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,1,0.1,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,1,0.2,0.917,0.186,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,1,0.3,0.917,0.186,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,1,0.4,0.917,0.186,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,1,0.5,0.917,0.186,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,1,0.6,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,1,0.7,0.917,0.186,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,1,0.8,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,1,0.9,0.917,0.186,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,1,1.0,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,1,1.1,0.833,0.236,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,1,1.2,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,2,0.1,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,2,0.2,0.917,0.186,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,2,0.3,0.917,0.186,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,2,0.4,0.917,0.186,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,2,0.5,0.917,0.186,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,2,0.6,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,2,0.7,0.917,0.186,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,2,0.8,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,2,0.9,0.917,0.186,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,2,1.0,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,2,1.1,0.833,0.236,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,2,1.2,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,4,0.1,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,4,0.2,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,4,0.3,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,4,0.4,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,4,0.5,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,4,0.6,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,4,0.7,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,4,0.8,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,4,0.9,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,4,1.0,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,4,1.1,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,4,1.2,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,8,0.1,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,8,0.2,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,8,0.3,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,8,0.4,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,8,0.5,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,8,0.6,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,8,0.7,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,8,0.8,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,8,0.9,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,8,1.0,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,8,1.1,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,8,1.2,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,16,0.1,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,16,0.2,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,16,0.3,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,16,0.4,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,16,0.5,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,16,0.6,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,16,0.7,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,16,0.8,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,16,0.9,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,16,1.0,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,16,1.1,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,16,1.2,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,32,0.1,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,32,0.2,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,32,0.3,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,32,0.4,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,32,0.5,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,32,0.6,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,32,0.7,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,32,0.8,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,32,0.9,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,32,1.0,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,32,1.1,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,32,1.2,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,64,0.1,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,64,0.2,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,64,0.3,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,64,0.4,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,64,0.5,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,64,0.6,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,64,0.7,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,64,0.8,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,64,0.9,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,64,1.0,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,64,1.1,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,64,1.2,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,128,0.1,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,128,0.2,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,128,0.3,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,128,0.4,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,128,0.5,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,128,0.6,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,128,0.7,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,128,0.8,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,128,0.9,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,128,1.0,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,128,1.1,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,128,1.2,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,256,0.1,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,256,0.2,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,256,0.3,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,256,0.4,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,256,0.5,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,256,0.6,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,256,0.7,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,256,0.8,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,256,0.9,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,256,1.0,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,256,1.1,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L1,2,256,1.2,1.0,0.0,markdown
Qwen3-4B-Instruct-2507,aime2023,L2,5,1,0.1,0.733,0.189,markdown
Qwen3-4B-Instruct-2507,aime2023,L2,5,1,0.2,0.5,0.1,markdown
Qwen3-4B-Instruct-2507,aime2023,L2,5,1,0.3,0.667,0.275,markdown
Qwen3-4B-Instruct-2507,aime2023,L2,5,1,0.4,0.6,0.115,markdown
Qwen3-4B-Instruct-2507,aime2023,L2,5,1,0.5,0.7,0.252,markdown
Qwen3-4B-Instruct-2507,aime2023,L2,5,1,0.6,0.633,0.137,markdown
Qwen3-4B-Instruct-2507,aime2023,L2,5,1,0.7,0.5,0.252,markdown
Qwen3-4B-Instruct-2507,aime2023,L2,5,1,0.8,0.567,0.269,markdown
Qwen3-4B-Instruct-2507,aime2023,L2,5,1,0.9,0.733,0.094,markdown
Qwen3-4B-Instruct-2507,aime2023,L2,5,1,1.0,0.7,0.224,markdown
Qwen3-4B-Instruct-2507,aime2023,L2,5,1,1.1,0.7,0.191,markdown
Qwen3-4B-Instruct-2507,aime2023,L2,5,1,1.2,0.6,0.163,markdown
Qwen3-4B-Instruct-2507,aime2023,L2,5,2,0.1,0.733,0.189,markdown
Qwen3-4B-Instruct-2507,aime2023,L2,5,2,0.2,0.5,0.1,markdown
Qwen3-4B-Instruct-2507,aime2023,L2,5,2,0.3,0.667,0.275,markdown
Qwen3-4B-Instruct-2507,aime2023,L2,5,2,0.4,0.6,0.115,markdown
Qwen3-4B-Instruct-2507,aime2023,L2,5,2,0.5,0.7,0.252,markdown
Qwen3-4B-Instruct-2507,aime2023,L2,5,2,0.6,0.633,0.137,markdown
Qwen3-4B-Instruct-2507,aime2023,L2,5,2,0.7,0.5,0.252,markdown
Qwen3-4B-Instruct-2507,aime2023,L2,5,2,0.8,0.567,0.269,markdown
Qwen3-4B-Instruct-2507,aime2023,L2,5,2,0.9,0.733,0.094,markdown
Qwen3-4B-Instruct-2507,aime2023,L2,5,2,1.0,0.7,0.224,markdown
Qwen3-4B-Instruct-2507,aime2023,L2,5,2,1.1,0.7,0.191,markdown
Qwen3-4B-Instruct-2507,aime2023,L2,5,2,1.2,0.6,0.163,markdown
Qwen3-4B-Instruct-2507,aime2023,L2,5,4,0.1,0.867,0.149,markdown
Qwen3-4B-Instruct-2507,aime2023,L2,5,4,0.2,0.7,0.1,markdown
Qwen3-4B-Instruct-2507,aime2023,L2,5,4,0.3,0.867,0.149,markdown
Qwen3-4B-Instruct-2507,aime2023,L2,5,4,0.4,0.833,0.137,markdown
Qwen3-4B-Instruct-2507,aime2023,L2,5,4,0.5,0.833,0.137,markdown
